"","cluster1","cluster2","cluster4","cluster5"
"CGGA_1478",0.137559779753361,0.111276802539222,-0.254773845632891,-0.173761304637228
"CGGA_1480",0.495669283018115,0.35634227859186,0.37611679397242,0.00761141453175002
"CGGA_1481",-0.322931056379415,-0.709456699356899,-0.551602531984922,-0.600184492144557
"CGGA_1482",-0.329722744087674,-0.716445943904504,-0.567849359500732,-0.554851107083752
"CGGA_1486",-0.253894592688692,-0.49154545772129,-0.482049407096709,-0.581518954107901
"CGGA_1487",-0.375352929128817,0.218738313989339,-0.334265038205797,-0.423247714388569
"CGGA_1488",-0.616945385651614,0.290308337806938,0.29857417618666,0.667212651735689
"CGGA_1491",-0.141600292070841,0.258243126804949,-0.082890073744406,-0.129012444440304
"CGGA_1492",0.451540855008348,0.527419491997988,0.567866961645544,0.592337747342229
"CGGA_1494",-0.568174093989761,-0.750253159295528,-0.645972153052402,-0.563993788286742
"CGGA_1496",-0.290356493728334,-0.149358457840909,-0.178001763657295,0.423425333884576
"CGGA_1497",-0.769170691770973,0.259397723275957,-0.415098284516141,-0.150216778223973
"CGGA_1498",-0.345177060518044,-0.591001641799206,-0.549527143656374,-0.495235597500451
"CGGA_1500",0.103165388018702,0.280018083932806,0.446136392338163,0.0434454650206146
"CGGA_1501",0.0373570642713718,-0.607811243318461,-0.517664204650858,-0.609234782476864
"CGGA_1502",0.357589511448108,-0.139437815944633,-0.104307298229794,-0.454083721737823
"CGGA_1503",-0.158555811038523,-0.48631186490963,-0.447521237627591,-0.400505152954387
"CGGA_1504",0.111299976595223,-0.118895456017139,-0.21801921101277,-0.177681881665866
"CGGA_1505",0.483964846389148,0.44949188018814,0.502988676077582,0.565950757829139
"CGGA_1507",0.679988915822872,0.44502516385016,0.473883978950947,0.212861383660118
"CGGA_1508",0.257932788748436,0.297043542052195,0.279954193067994,-0.184479012601717
"CGGA_1510",-0.707237945344221,-0.295708867728967,-0.499178582058672,-0.508733395960395
"CGGA_1513",-0.788307863834074,-0.473504200797326,-0.447366440314996,-0.584437992815338
